id,subscription_type,m_revenue,join_date,last_payment,country,age,gender,device_type,plan_duration
353,Premium,17,07-08-22,16-09-22,United Kingdom,40,Male,Laptop,1 Month
354,Basic,9,12-09-22,14-10-22,United States,39,Female,Smart TV,1 Month
355,Basic,11,24-12-21,24-07-22,Germany,51,Female,Laptop,1 Month
356,Basic,12,05-02-22,15-03-22,Brazil,43,Male,Smartphone,1 Month
357,Premium,16,01-03-22,06-07-22,Germany,47,Female,Smart TV,1 Month
358,Premium,14,27-12-22,30-06-23,Australia,31,Female,Smart TV,1 Month
359,Basic,10,11-04-22,05-08-22,Brazil,39,Female,Tablet,1 Month
360,Basic,9,30-06-23,04-07-23,Brazil,41,Male,Smartphone,1 Month
361,Basic,10,12-05-23,29-06-23,Canada,43,Female,Smartphone,1 Month
362,Basic,10,29-11-21,01-09-22,France,38,Female,Smart TV,1 Month
363,Premium,15,05-05-23,12-07-23,Australia,49,Male,Smart TV,1 Month
364,Basic,12,17-12-21,11-04-22,France,38,Female,Tablet,1 Month
365,Basic,11,14-01-22,06-05-22,Australia,34,Male,Tablet,1 Month
366,Standard,11,21-02-23,15-07-23,Germany,33,Female,Smartphone,1 Month
367,Premium,15,17-11-22,24-03-23,Spain,48,Male,Laptop,1 Month
368,Premium,16,19-02-22,02-04-22,Spain,49,Female,Smartphone,1 Month
369,Basic,12,19-11-21,29-01-22,United States,37,Female,Tablet,1 Month
370,Basic,12,22-04-23,28-06-23,Italy,46,Male,Tablet,1 Month
371,Premium,18,29-01-22,02-05-22,Canada,45,Male,Laptop,1 Month
372,Basic,10,09-12-22,15-07-23,Italy,44,Female,Laptop,1 Month
373,Basic,9,19-03-23,20-06-23,United Kingdom,49,Female,Smartphone,1 Month
374,Premium,17,19-03-22,14-03-23,Mexico,36,Female,Smart TV,1 Month
375,Basic,9,09-01-23,06-03-23,Brazil,43,Female,Tablet,1 Month
376,Premium,16,11-09-22,03-07-23,United Kingdom,29,Male,Laptop,1 Month
377,Basic,9,01-09-21,19-12-21,United States,37,Male,Smartphone,1 Month
378,Standard,12,21-03-23,08-07-23,United States,37,Male,Smartphone,1 Month
379,Basic,10,13-05-23,07-07-23,Germany,30,Male,Tablet,1 Month
380,Premium,14,03-04-23,01-07-23,Australia,28,Female,Tablet,1 Month
381,Basic,9,19-08-22,08-04-23,Brazil,36,Male,Smartphone,1 Month
382,Standard,11,23-06-22,12-04-23,United Kingdom,47,Female,Smart TV,1 Month
383,Basic,12,11-05-23,26-06-23,Brazil,37,Female,Smart TV,1 Month
384,Basic,12,18-02-23,15-03-23,Australia,49,Female,Smartphone,1 Month
385,Premium,18,19-02-22,24-06-22,Brazil,47,Female,Tablet,1 Month
386,Standard,12,01-07-22,10-11-22,Brazil,34,Male,Tablet,1 Month
387,Standard,12,23-09-22,22-10-22,Brazil,32,Male,Laptop,1 Month
388,Basic,12,20-07-22,18-12-22,Canada,39,Male,Smartphone,1 Month
389,Premium,14,30-09-22,09-04-23,Mexico,31,Male,Laptop,1 Month
390,Basic,9,23-06-23,15-07-23,Germany,36,Female,Laptop,1 Month
391,Premium,16,14-05-23,21-06-23,Spain,41,Female,Tablet,1 Month
392,Basic,9,12-04-23,08-07-23,Mexico,32,Male,Smart TV,1 Month
393,Basic,10,16-09-21,08-07-22,United States,43,Female,Smart TV,1 Month
394,Premium,18,03-05-22,23-06-22,United States,46,Male,Smart TV,1 Month
395,Basic,11,30-01-22,14-09-22,United States,35,Male,Laptop,1 Month
396,Premium,18,14-07-22,13-03-23,Spain,28,Male,Smart TV,1 Month
397,Basic,11,23-10-22,28-04-23,Australia,37,Male,Tablet,1 Month
398,Standard,15,07-04-22,24-08-22,Spain,46,Male,Smartphone,1 Month
399,Premium,18,11-05-22,07-09-22,United States,50,Male,Smartphone,1 Month
400,Premium,16,12-01-23,08-07-23,Canada,27,Male,Tablet,1 Month
401,Basic,11,01-05-22,14-12-22,Brazil,40,Female,Tablet,1 Month
402,Basic,12,04-06-23,24-06-23,Australia,43,Female,Smartphone,1 Month
403,Standard,13,19-01-23,01-07-23,United States,29,Female,Smartphone,1 Month
404,Standard,15,26-11-22,05-07-23,Canada,44,Female,Smartphone,1 Month
405,Basic,13,04-05-22,29-09-22,United States,40,Female,Smart TV,1 Month
406,Basic,9,30-04-22,16-11-22,United States,33,Male,Smart TV,1 Month
407,Standard,13,13-08-22,22-06-23,France,33,Male,Smart TV,1 Month
408,Premium,14,02-12-22,16-02-23,United States,45,Male,Smart TV,1 Month
409,Basic,12,26-05-22,13-05-23,Canada,36,Male,Laptop,1 Month
410,Premium,16,16-04-23,03-07-23,Spain,42,Female,Smartphone,1 Month
411,Premium,15,04-03-23,14-07-23,Germany,50,Female,Laptop,1 Month
412,Basic,12,16-02-22,19-11-22,Canada,44,Male,Tablet,1 Month
413,Premium,15,09-05-23,11-07-23,Spain,49,Female,Smart TV,1 Month
414,Premium,16,11-06-22,26-03-23,United Kingdom,45,Male,Tablet,1 Month
415,Basic,12,09-08-22,26-10-22,United States,34,Male,Laptop,1 Month
416,Standard,12,09-09-21,14-08-22,Australia,49,Female,Tablet,1 Month
417,Standard,11,15-10-22,05-04-23,United Kingdom,32,Male,Laptop,1 Month
418,Premium,16,12-10-21,13-05-22,Spain,39,Male,Laptop,1 Month
419,Premium,15,18-11-22,26-12-22,Australia,51,Female,Laptop,1 Month
420,Basic,12,17-08-22,05-05-23,France,49,Female,Tablet,1 Month
421,Basic,12,02-02-22,12-04-22,United States,48,Male,Smart TV,1 Month
422,Standard,14,07-01-23,01-06-23,Spain,32,Male,Smart TV,1 Month
423,Basic,10,30-07-22,07-07-23,Spain,47,Male,Smartphone,1 Month
424,Basic,10,07-06-23,04-07-23,Canada,29,Male,Tablet,1 Month
425,Basic,12,09-12-22,07-02-23,Spain,33,Female,Laptop,1 Month
426,Standard,11,04-05-22,09-09-22,France,37,Male,Smart TV,1 Month
427,Premium,18,14-05-22,05-06-22,Germany,34,Female,Smart TV,1 Month
428,Standard,14,20-06-22,11-05-23,Australia,35,Male,Smart TV,1 Month
429,Standard,13,20-10-21,24-09-22,United States,27,Female,Smartphone,1 Month
430,Standard,14,03-03-22,18-08-22,United States,40,Female,Smart TV,1 Month
431,Standard,11,11-03-22,17-05-22,Mexico,29,Male,Smartphone,1 Month
432,Basic,12,18-11-21,17-09-22,United Kingdom,46,Female,Smart TV,1 Month
433,Standard,15,17-04-23,24-05-23,United Kingdom,30,Female,Laptop,1 Month
434,Basic,9,09-08-22,10-09-22,Germany,29,Female,Smartphone,1 Month
435,Premium,15,10-09-22,27-02-23,Spain,29,Female,Tablet,1 Month
436,Standard,12,27-01-22,06-07-22,Spain,36,Male,Smartphone,1 Month
437,Standard,15,03-01-23,20-06-23,United Kingdom,42,Female,Laptop,1 Month
438,Basic,12,25-09-22,22-10-22,United States,39,Male,Tablet,1 Month
439,Basic,12,18-11-22,23-12-22,Canada,45,Female,Laptop,1 Month
440,Standard,12,12-02-22,10-01-23,France,34,Male,Laptop,1 Month
441,Standard,13,29-08-22,09-02-23,Canada,46,Male,Tablet,1 Month
442,Standard,11,25-11-22,25-05-23,Mexico,31,Female,Tablet,1 Month
443,Basic,10,20-06-23,01-07-23,Canada,44,Female,Smart TV,1 Month
444,Premium,17,01-01-22,06-02-22,United Kingdom,44,Female,Smartphone,1 Month
445,Basic,11,06-06-22,17-11-22,United Kingdom,30,Female,Smartphone,1 Month
446,Standard,15,13-02-23,08-07-23,Canada,32,Female,Smartphone,1 Month
447,Premium,18,23-11-22,22-06-23,Canada,46,Male,Laptop,1 Month
448,Standard,14,10-06-23,27-06-23,Spain,37,Male,Smart TV,1 Month
449,Premium,15,11-05-22,06-03-23,United Kingdom,35,Female,Smart TV,1 Month
450,Standard,12,11-04-22,10-11-22,Canada,43,Female,Tablet,1 Month
451,Basic,10,06-05-23,24-06-23,United States,32,Female,Tablet,1 Month
452,Standard,15,09-06-22,07-01-23,Mexico,29,Female,Smartphone,1 Month
453,Basic,10,08-02-23,02-07-23,United Kingdom,49,Male,Tablet,1 Month
454,Premium,17,09-11-21,16-09-22,Australia,43,Female,Tablet,1 Month
455,Basic,12,23-02-22,28-11-22,Spain,44,Female,Smartphone,1 Month
456,Premium,14,16-03-22,21-10-22,Canada,38,Male,Smart TV,1 Month
457,Standard,12,30-03-23,14-07-23,United States,49,Female,Smart TV,1 Month
458,Basic,10,07-01-23,24-03-23,Germany,34,Male,Laptop,1 Month
459,Standard,14,21-02-23,03-07-23,United States,46,Female,Laptop,1 Month
460,Standard,14,01-04-23,06-07-23,Spain,28,Female,Smartphone,1 Month
461,Premium,16,17-01-23,27-03-23,Canada,45,Male,Tablet,1 Month
462,Basic,12,06-01-22,29-04-22,France,34,Female,Laptop,1 Month
463,Standard,11,27-12-22,09-04-23,Spain,44,Male,Smart TV,1 Month
464,Basic,11,09-01-22,18-09-22,Canada,38,Male,Smart TV,1 Month
465,Premium,14,31-08-22,02-02-23,Germany,47,Male,Tablet,1 Month
466,Premium,18,10-06-22,18-05-23,Germany,50,Male,Laptop,1 Month
467,Basic,9,26-08-22,13-05-23,Spain,35,Male,Smart TV,1 Month
468,Premium,15,19-01-23,23-06-23,Spain,37,Male,Smart TV,1 Month
469,Premium,14,24-06-22,19-06-23,Germany,47,Female,Laptop,1 Month
470,Standard,14,09-02-23,17-05-23,United States,49,Male,Laptop,1 Month
471,Basic,13,10-08-22,20-05-23,United States,36,Female,Smartphone,1 Month
472,Premium,18,28-01-22,30-03-22,United Kingdom,34,Female,Smartphone,1 Month
473,Basic,13,21-11-22,21-04-23,Brazil,40,Male,Tablet,1 Month
474,Basic,10,16-11-21,25-02-22,Brazil,38,Female,Smartphone,1 Month
475,Premium,17,13-10-21,02-05-22,United Kingdom,26,Male,Smartphone,1 Month
476,Standard,15,23-11-21,11-11-22,United States,43,Male,Smartphone,1 Month
477,Basic,11,02-11-21,18-12-21,France,42,Male,Tablet,1 Month
478,Basic,11,01-11-21,23-01-22,United States,45,Male,Smartphone,1 Month
479,Standard,15,31-05-22,23-09-22,Spain,47,Female,Tablet,1 Month
480,Basic,11,25-01-23,02-07-23,United States,42,Male,Laptop,1 Month
481,Basic,10,07-10-21,03-03-22,Canada,47,Female,Laptop,1 Month
482,Basic,12,05-08-22,21-12-22,United Kingdom,48,Female,Smart TV,1 Month
483,Standard,15,04-02-23,22-04-23,Mexico,43,Male,Tablet,1 Month
484,Basic,12,02-03-22,28-06-22,France,47,Female,Smartphone,1 Month
485,Standard,12,12-11-21,12-09-22,Australia,28,Male,Tablet,1 Month
486,Basic,12,02-04-23,11-06-23,Brazil,34,Female,Laptop,1 Month
487,Standard,13,13-10-21,21-01-22,United States,36,Male,Laptop,1 Month
488,Premium,18,19-12-22,05-02-23,United Kingdom,47,Female,Smart TV,1 Month
489,Premium,17,31-05-22,04-02-23,Mexico,42,Male,Smartphone,1 Month
490,Basic,10,07-08-22,18-03-23,Australia,50,Female,Smartphone,1 Month
491,Standard,13,13-07-22,06-10-22,Australia,40,Female,Smart TV,1 Month
492,Standard,15,26-10-22,25-12-22,United States,40,Male,Laptop,1 Month
493,Basic,12,24-01-23,01-07-23,Canada,49,Male,Smartphone,1 Month
494,Premium,15,09-12-21,29-03-22,Canada,28,Female,Tablet,1 Month
495,Basic,9,11-12-21,22-01-22,Canada,51,Female,Smartphone,1 Month
496,Basic,11,26-07-22,05-06-23,Italy,43,Male,Laptop,1 Month
497,Standard,12,01-07-22,01-02-23,Canada,42,Female,Smart TV,1 Month
498,Standard,11,22-01-23,20-06-23,United States,26,Male,Tablet,1 Month
499,Standard,12,25-12-22,26-05-23,United Kingdom,39,Female,Smart TV,1 Month
500,Basic,12,20-12-22,19-01-23,United States,48,Female,Smartphone,1 Month
501,Standard,14,03-12-21,06-07-22,Italy,43,Male,Laptop,1 Month
502,Basic,10,30-12-22,22-06-23,Australia,38,Female,Laptop,1 Month
503,Premium,14,21-12-22,29-01-23,Germany,39,Female,Smart TV,1 Month
504,Basic,12,01-03-22,14-01-23,Germany,37,Male,Smart TV,1 Month
505,Standard,14,02-11-21,28-10-22,United Kingdom,29,Male,Laptop,1 Month
506,Basic,13,27-10-22,17-02-23,Brazil,31,Male,Laptop,1 Month
507,Basic,10,21-03-22,27-01-23,Canada,33,Female,Smart TV,1 Month
508,Basic,9,18-12-21,08-10-22,Mexico,35,Male,Smartphone,1 Month
509,Standard,12,19-01-22,24-10-22,United States,28,Female,Smartphone,1 Month
510,Standard,15,30-11-21,06-01-22,Canada,33,Female,Smartphone,1 Month
511,Standard,15,28-04-22,11-09-22,United States,51,Female,Smart TV,1 Month
512,Basic,10,25-05-23,12-07-23,Canada,37,Male,Smartphone,1 Month
513,Premium,16,28-05-22,11-12-22,United States,26,Female,Tablet,1 Month
514,Premium,15,08-11-21,27-07-22,United Kingdom,43,Male,Smart TV,1 Month
515,Standard,15,25-05-23,05-07-23,United Kingdom,47,Male,Tablet,1 Month
516,Standard,14,01-06-23,05-07-23,Mexico,38,Male,Smart TV,1 Month
517,Standard,11,05-09-22,08-06-23,Brazil,47,Female,Laptop,1 Month
518,Basic,9,09-08-22,11-07-23,United States,41,Male,Smartphone,1 Month
519,Basic,11,17-08-22,13-04-23,Spain,44,Female,Smartphone,1 Month
520,Standard,15,20-03-23,29-06-23,Germany,30,Female,Tablet,1 Month
521,Standard,15,28-12-22,11-07-23,Spain,40,Female,Smartphone,1 Month
522,Standard,11,14-08-22,09-12-22,United Kingdom,31,Male,Tablet,1 Month
523,Premium,17,10-12-22,24-02-23,Spain,43,Male,Smart TV,1 Month
524,Standard,11,25-12-22,13-07-23,United Kingdom,31,Male,Tablet,1 Month
525,Standard,13,30-03-22,29-12-22,Germany,39,Male,Tablet,1 Month
526,Premium,17,30-05-22,05-10-22,Germany,49,Female,Tablet,1 Month
527,Basic,9,24-12-21,25-09-22,United States,33,Female,Smartphone,1 Month
528,Basic,11,27-02-23,26-06-23,Spain,35,Female,Tablet,1 Month
529,Basic,12,12-12-21,19-08-22,Brazil,48,Male,Smartphone,1 Month
530,Standard,14,12-04-22,21-12-22,United States,33,Female,Smartphone,1 Month
531,Basic,10,13-10-22,05-06-23,United States,40,Female,Tablet,1 Month
532,Basic,13,09-03-23,11-07-23,Australia,38,Female,Smart TV,1 Month
533,Standard,15,29-09-21,19-08-22,Germany,49,Female,Tablet,1 Month
534,Basic,11,25-06-23,10-07-23,Spain,33,Male,Smart TV,1 Month
535,Standard,14,27-12-22,30-05-23,Spain,48,Female,Tablet,1 Month
536,Standard,11,12-12-21,10-09-22,Spain,40,Male,Smart TV,1 Month
537,Premium,15,20-03-22,16-09-22,United Kingdom,27,Female,Tablet,1 Month
538,Standard,12,20-04-23,24-06-23,Germany,33,Male,Smart TV,1 Month
539,Premium,14,04-08-22,15-09-22,Germany,49,Female,Smartphone,1 Month
540,Basic,10,02-09-22,08-12-22,Spain,38,Female,Smart TV,1 Month
541,Standard,14,18-03-23,30-06-23,United States,33,Female,Smart TV,1 Month
542,Premium,16,14-01-22,12-08-22,Australia,43,Male,Tablet,1 Month
543,Basic,13,01-01-23,22-06-23,France,39,Male,Smartphone,1 Month
544,Basic,9,05-01-23,02-07-23,Canada,40,Male,Tablet,1 Month
545,Standard,15,07-01-22,28-08-22,Canada,32,Female,Smart TV,1 Month
546,Basic,12,22-04-23,29-06-23,Mexico,26,Male,Tablet,1 Month
547,Premium,16,29-10-22,07-07-23,Spain,28,Female,Tablet,1 Month
548,Standard,12,17-10-22,03-06-23,United Kingdom,48,Female,Smart TV,1 Month
549,Premium,14,26-07-22,09-10-22,Canada,36,Female,Smartphone,1 Month
550,Standard,11,01-06-23,24-06-23,Italy,31,Male,Tablet,1 Month
551,Basic,11,17-10-22,06-12-22,United States,38,Male,Tablet,1 Month
552,Premium,14,02-12-22,12-05-23,Spain,29,Female,Smartphone,1 Month
553,Premium,16,04-12-21,28-01-22,Canada,38,Male,Smartphone,1 Month
554,Premium,15,12-05-22,11-07-22,Canada,49,Female,Tablet,1 Month
555,Standard,11,12-05-23,11-07-23,United States,49,Male,Tablet,1 Month
556,Premium,14,03-12-21,21-10-22,Germany,28,Female,Tablet,1 Month
557,Standard,13,19-10-21,01-04-22,Australia,34,Female,Smart TV,1 Month
558,Premium,14,20-12-21,02-09-22,Mexico,32,Male,Smart TV,1 Month
559,Standard,14,02-06-23,27-06-23,United Kingdom,35,Male,Laptop,1 Month
560,Basic,10,26-08-22,03-07-23,Mexico,43,Male,Smart TV,1 Month
561,Premium,18,21-10-22,20-06-23,Spain,40,Male,Laptop,1 Month
562,Premium,16,16-08-22,02-07-23,Spain,35,Female,Laptop,1 Month
563,Premium,14,14-04-22,03-01-23,Germany,26,Female,Smart TV,1 Month
564,Standard,15,21-10-21,21-02-22,Spain,29,Male,Tablet,1 Month
565,Standard,13,27-10-22,05-07-23,United States,38,Male,Laptop,1 Month
566,Basic,9,06-05-23,05-07-23,Germany,28,Female,Smart TV,1 Month
567,Premium,17,18-02-23,29-06-23,Canada,31,Female,Laptop,1 Month
568,Premium,18,01-03-22,28-06-22,France,45,Male,Smart TV,1 Month
569,Standard,12,27-05-22,27-09-22,United Kingdom,48,Male,Smart TV,1 Month
570,Basic,11,13-01-22,14-02-22,Australia,46,Male,Laptop,1 Month
571,Basic,12,24-10-21,14-09-22,Spain,47,Male,Laptop,1 Month
572,Premium,16,23-05-23,20-06-23,Canada,45,Male,Smartphone,1 Month
573,Premium,17,15-09-21,09-03-22,Italy,30,Male,Smartphone,1 Month
574,Standard,14,27-11-22,10-02-23,United Kingdom,35,Female,Tablet,1 Month
575,Premium,16,10-05-22,21-12-22,Italy,40,Female,Laptop,1 Month
576,Standard,13,09-02-22,12-04-22,United States,32,Male,Laptop,1 Month
577,Standard,14,20-12-21,14-02-22,Australia,49,Male,Tablet,1 Month
578,Standard,11,24-06-22,08-10-22,Canada,44,Female,Laptop,1 Month
579,Standard,15,09-08-22,07-02-23,France,40,Female,Laptop,1 Month
580,Standard,12,14-02-23,27-03-23,Spain,34,Female,Smart TV,1 Month
581,Standard,11,14-12-22,28-03-23,Australia,27,Male,Tablet,1 Month
582,Premium,16,22-07-22,04-10-22,United States,35,Male,Smartphone,1 Month
583,Standard,12,03-05-22,25-10-22,France,35,Female,Smartphone,1 Month
584,Premium,14,09-10-21,20-11-21,United States,46,Female,Tablet,1 Month
585,Basic,13,30-10-22,03-07-23,Australia,32,Female,Tablet,1 Month
586,Basic,12,30-04-22,22-04-23,United States,51,Female,Smartphone,1 Month
587,Standard,11,23-04-23,30-06-23,Germany,28,Female,Smartphone,1 Month
588,Standard,11,15-11-21,09-05-22,Australia,30,Male,Tablet,1 Month
589,Standard,15,19-06-23,29-06-23,United States,50,Female,Smart TV,1 Month
590,Premium,14,29-06-22,18-09-22,Spain,28,Male,Tablet,1 Month
591,Premium,14,23-10-22,26-03-23,Brazil,27,Female,Smartphone,1 Month
592,Basic,9,18-11-22,10-07-23,United States,31,Male,Smart TV,1 Month
593,Standard,12,18-09-22,13-11-22,Spain,28,Male,Smartphone,1 Month
594,Basic,12,12-07-22,18-12-22,Spain,44,Female,Tablet,1 Month
595,Basic,12,09-03-23,26-06-23,Italy,49,Male,Smart TV,1 Month
596,Basic,10,25-04-23,04-07-23,Germany,37,Female,Smartphone,1 Month
597,Standard,13,29-09-21,09-11-21,United States,51,Female,Smart TV,1 Month
598,Basic,12,08-08-22,03-06-23,United Kingdom,39,Male,Smart TV,1 Month
599,Basic,10,20-04-22,07-11-22,Spain,42,Male,Tablet,1 Month
600,Premium,15,20-10-22,26-06-23,Spain,43,Female,Laptop,1 Month
601,Premium,17,13-06-22,11-12-22,Mexico,51,Female,Smartphone,1 Month
602,Basic,13,24-11-22,30-12-22,Germany,29,Male,Smart TV,1 Month
603,Basic,12,29-06-23,02-07-23,France,46,Male,Tablet,1 Month
604,Premium,16,12-02-23,04-04-23,United States,32,Female,Smart TV,1 Month
605,Standard,15,21-03-23,28-04-23,Spain,50,Female,Smartphone,1 Month
606,Basic,11,09-11-21,27-01-22,United Kingdom,45,Female,Smartphone,1 Month
607,Standard,11,26-05-23,10-07-23,Australia,35,Female,Tablet,1 Month
608,Basic,9,11-01-22,23-12-22,Spain,43,Male,Smart TV,1 Month
609,Basic,9,10-10-22,06-01-23,France,49,Male,Laptop,1 Month
610,Standard,15,13-05-23,04-07-23,Australia,40,Male,Smartphone,1 Month
611,Standard,11,19-09-22,22-06-23,France,41,Male,Tablet,1 Month
612,Premium,15,07-02-23,25-03-23,Spain,41,Female,Smartphone,1 Month
613,Premium,17,20-03-23,26-06-23,Germany,32,Female,Smart TV,1 Month
614,Premium,14,11-03-22,11-07-22,Germany,28,Male,Laptop,1 Month
615,Basic,11,23-01-22,03-09-22,Canada,40,Female,Tablet,1 Month
616,Premium,15,17-03-23,08-07-23,France,28,Female,Laptop,1 Month
617,Basic,12,09-09-22,04-10-22,Canada,35,Female,Smart TV,1 Month
618,Standard,13,19-06-22,11-06-23,United States,42,Male,Laptop,1 Month
619,Basic,9,19-12-22,26-03-23,United States,48,Male,Smartphone,1 Month
620,Standard,15,13-07-22,14-06-23,United States,48,Female,Laptop,1 Month
621,Premium,16,07-03-23,09-07-23,Canada,50,Female,Laptop,1 Month
622,Standard,14,04-02-23,27-06-23,United Kingdom,46,Male,Smart TV,1 Month
623,Standard,14,28-03-22,15-06-22,France,51,Male,Smart TV,1 Month
624,Premium,17,06-06-23,02-07-23,Spain,50,Female,Tablet,1 Month
625,Standard,15,08-01-23,09-06-23,France,45,Male,Smart TV,1 Month
626,Standard,12,12-11-21,07-08-22,Canada,29,Male,Smart TV,1 Month
627,Premium,14,14-04-22,10-04-23,Brazil,29,Male,Smartphone,1 Month
628,Premium,18,03-04-22,06-09-22,United States,26,Male,Smartphone,1 Month
629,Basic,13,08-11-22,03-05-23,Italy,45,Female,Smart TV,1 Month
630,Basic,12,27-11-21,09-01-22,France,50,Female,Tablet,1 Month
631,Standard,14,28-09-21,04-06-22,Brazil,46,Female,Tablet,1 Month
632,Basic,11,12-10-21,05-11-21,United States,32,Male,Smart TV,1 Month
633,Standard,12,20-03-22,12-08-22,Italy,46,Female,Smartphone,1 Month
634,Standard,12,25-06-22,30-09-22,United Kingdom,36,Male,Smart TV,1 Month
635,Premium,16,12-01-23,04-02-23,Brazil,51,Male,Smartphone,1 Month
636,Premium,17,13-04-22,18-12-22,Mexico,37,Female,Tablet,1 Month
637,Basic,11,17-03-22,15-04-22,France,50,Female,Smartphone,1 Month
638,Basic,9,13-07-22,12-01-23,United States,29,Female,Tablet,1 Month
639,Basic,13,20-09-21,12-09-22,Germany,45,Male,Smart TV,1 Month
640,Basic,13,05-03-22,18-11-22,Canada,46,Female,Smartphone,1 Month
641,Premium,14,25-02-22,17-11-22,Australia,29,Male,Smartphone,1 Month
642,Premium,14,22-09-21,13-05-22,Australia,39,Male,Smartphone,1 Month
643,Standard,12,22-02-23,11-07-23,United States,50,Male,Smart TV,1 Month
644,Basic,9,01-06-22,16-03-23,Spain,40,Female,Smart TV,1 Month
645,Standard,15,05-06-23,12-07-23,Brazil,40,Male,Tablet,1 Month
646,Basic,10,10-08-22,10-10-22,Australia,38,Male,Smart TV,1 Month
647,Premium,16,11-01-22,09-06-22,France,34,Female,Laptop,1 Month
648,Basic,13,22-01-22,08-08-22,United Kingdom,40,Female,Smartphone,1 Month
649,Premium,14,16-06-23,08-07-23,Australia,43,Male,Smartphone,1 Month
650,Standard,13,26-07-22,22-06-23,Italy,31,Female,Smartphone,1 Month
651,Basic,12,04-11-22,25-01-23,United States,30,Male,Tablet,1 Month
652,Premium,14,14-02-22,28-12-22,Spain,36,Male,Smartphone,1 Month
653,Standard,11,28-07-22,08-11-22,Germany,46,Male,Tablet,1 Month
654,Basic,9,17-09-22,24-12-22,United States,44,Male,Tablet,1 Month
655,Premium,17,26-09-22,24-06-23,Spain,36,Female,Tablet,1 Month
656,Basic,10,03-02-22,06-08-22,Germany,33,Male,Smart TV,1 Month
657,Basic,12,27-06-22,07-05-23,Australia,45,Male,Tablet,1 Month
658,Premium,16,04-10-21,24-12-21,Australia,50,Female,Tablet,1 Month
659,Standard,15,19-04-23,02-07-23,United Kingdom,46,Male,Laptop,1 Month
660,Standard,13,24-10-22,21-06-23,Germany,50,Female,Laptop,1 Month
661,Basic,13,15-04-23,21-06-23,France,43,Female,Laptop,1 Month
662,Standard,15,02-11-22,28-06-23,Australia,44,Male,Tablet,1 Month
663,Basic,11,03-02-22,23-03-22,Brazil,27,Female,Smart TV,1 Month
664,Premium,16,08-05-23,21-06-23,Germany,36,Female,Smart TV,1 Month
665,Standard,11,13-12-22,03-06-23,United States,50,Male,Smartphone,1 Month
666,Standard,14,30-03-22,20-06-22,Spain,45,Male,Smart TV,1 Month
667,Basic,11,07-05-23,07-07-23,United Kingdom,47,Female,Smartphone,1 Month
668,Standard,15,19-09-22,16-12-22,United States,41,Male,Smartphone,1 Month
669,Basic,11,07-07-22,30-06-23,Australia,30,Female,Laptop,1 Month
670,Basic,12,17-10-21,25-03-22,United Kingdom,49,Male,Smartphone,1 Month
671,Standard,14,08-08-22,20-12-22,Canada,34,Female,Tablet,1 Month
672,Basic,12,19-02-22,29-03-22,Germany,39,Male,Tablet,1 Month
673,Basic,12,16-02-22,17-05-22,Spain,46,Female,Tablet,1 Month
674,Premium,18,17-02-22,14-06-22,Canada,39,Male,Smartphone,1 Month
675,Standard,14,27-09-22,30-01-23,France,36,Female,Smartphone,1 Month
676,Premium,17,03-03-22,07-09-22,Canada,34,Male,Smartphone,1 Month
677,Basic,9,10-11-22,05-01-23,Spain,47,Female,Smartphone,1 Month
678,Standard,11,10-04-23,26-06-23,Spain,35,Female,Smartphone,1 Month
679,Standard,11,11-05-22,10-05-23,Spain,45,Male,Laptop,1 Month
680,Standard,12,14-01-22,30-12-22,Canada,30,Female,Tablet,1 Month
681,Standard,12,24-07-22,02-12-22,Canada,41,Female,Laptop,1 Month
682,Standard,14,20-02-23,06-07-23,Australia,41,Male,Laptop,1 Month
683,Premium,17,04-01-23,06-02-23,Germany,36,Female,Smartphone,1 Month
684,Basic,12,05-02-22,15-06-22,Mexico,33,Female,Laptop,1 Month
685,Standard,12,25-05-23,15-07-23,United States,28,Male,Smartphone,1 Month
686,Premium,15,27-03-23,11-05-23,Spain,49,Female,Tablet,1 Month
687,Basic,9,16-10-21,04-04-22,United States,35,Male,Smart TV,1 Month
688,Premium,16,20-04-23,20-06-23,France,29,Male,Smart TV,1 Month
689,Standard,14,03-10-21,21-06-22,United Kingdom,36,Female,Smartphone,1 Month
690,Premium,15,24-04-22,29-10-22,Spain,45,Male,Smartphone,1 Month
691,Standard,13,24-05-23,07-07-23,Brazil,45,Female,Tablet,1 Month
692,Premium,18,05-01-23,07-07-23,Canada,38,Female,Smart TV,1 Month
693,Standard,11,22-06-23,29-06-23,United States,36,Female,Smart TV,1 Month
694,Basic,9,08-03-22,07-12-22,France,30,Male,Smartphone,1 Month
695,Basic,13,04-09-21,25-12-21,Brazil,33,Male,Smart TV,1 Month
696,Standard,11,15-12-22,19-03-23,Spain,35,Female,Tablet,1 Month
697,Basic,12,20-04-23,22-06-23,United Kingdom,51,Female,Smartphone,1 Month
698,Basic,13,04-09-21,17-05-22,United States,48,Male,Smartphone,1 Month
699,Premium,15,21-09-21,25-12-21,Mexico,31,Female,Laptop,1 Month
700,Premium,14,09-02-22,01-12-22,Spain,26,Female,Smartphone,1 Month
701,Basic,11,10-06-23,14-07-23,Brazil,50,Female,Tablet,1 Month
702,Basic,11,12-03-22,25-12-22,France,45,Male,Laptop,1 Month
703,Premium,18,13-01-23,28-06-23,Canada,35,Male,Laptop,1 Month
704,Standard,11,18-08-22,14-09-22,Australia,49,Male,Laptop,1 Month
